part_delay,utilization,batch_size,distance
62,40.6,12,10.0
77,42.9,12,19.0
49,38.2,12,35.0
60,39.7,12,9.0
73,44.5,12,37.0
56,38.0,12,20.0
62,40.3,12,29.0
62,40.3,12,26.0
62,40.6,12,20.0
62,40.6,12,21.0
62,40.3,12,22.0
61,40.0,12,20.0
49,37.9,12,36.0
56,38.0,12,21.0
54,40.4,12,20.0
68,42.8,12,16.0
60,39.6,12,35.0
59,39.4,12,22.0
64,41.2,12,33.0
68,42.8,12,15.0
43,38.6,12,20.0
52,39.6,12,25.0
63,40.7,12,32.0
69,42.9,12,29.0
49,37.9,12,19.0
63,40.7,12,14.0
49,38.2,12,24.0
53,40.0,12,32.0
57,38.5,12,30.0
62,40.3,12,48.0
60,39.8,12,33.0
62,40.3,12,20.0
58,38.8,12,32.0
81,44.2,12,27.0
62,40.4,12,27.0
62,40.3,12,7.0
67,42.4,12,22.0
63,40.7,12,18.0
69,43.0,12,20.0
63,40.7,12,35.0
58,38.8,12,22.0
62,40.6,12,90.0
60,39.8,12,32.0
56,38.3,12,19.0
49,38.3,12,14.0
56,38.0,12,32.0
69,43.0,12,22.0
68,42.8,12,33.0
65,41.6,12,12.0
67,39.4,12,28.0
62,40.3,12,23.0
60,39.7,12,35.0
64,41.2,12,22.0
62,40.6,12,19.0
60,39.7,12,20.0
58,38.9,12,17.0
60,39.8,12,14.0
62,40.3,12,19.0
69,40.3,12,47.0
63,40.7,12,33.0
68,42.6,12,19.0
61,40.0,12,20.0
67,42.4,12,17.0
60,39.7,12,5.0
65,41.6,12,26.0
76,42.4,12,22.0
70,43.3,12,22.0
50,38.6,12,18.0
71,43.7,12,9.0
69,42.9,12,25.0
49,37.9,12,22.0
63,41.0,12,27.0
64,41.2,12,26.0
65,41.5,12,24.0
70,43.3,12,18.0
62,40.6,12,10.0
62,40.6,12,31.0
63,40.7,12,5.0
48,37.7,12,27.0
64,41.2,12,32.0
58,38.8,12,30.0
102,42.7,12,16.0
57,41.8,12,10.0
62,40.3,12,16.0
62,40.3,12,21.0
56,37.9,12,33.0
62,40.3,12,16.0
65,41.6,12,47.0
54,40.4,12,32.0
58,38.9,12,19.0
70,43.3,12,14.0
61,40.2,12,16.0
56,38.0,12,13.0
67,42.2,12,32.0
60,39.8,12,29.0
63,40.7,12,32.0
56,38.2,12,24.0
69,42.9,12,31.0
62,40.6,12,29.0
74,42.0,12,33.0
65,41.5,12,21.0
56,38.0,12,47.0
60,39.6,12,42.0
68,39.8,12,37.0
71,41.0,12,29.0
