timestamp,pixel,fps,pv,ra,stream,device
2023-10-04 10:46:16.942573,300,18,1.0,0.93,1,Laptop
2023-10-04 10:46:18.145324,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:19.367747,300,18,1.0,0.94,1,Laptop
2023-10-05 13:55:35.191250,180,22,0.1,1.0,1,Laptop
2023-10-05 13:55:36.245049,180,22,0.3,0.95,1,Laptop
2023-10-05 13:55:39.758621,240,22,0.73,0.80,1,Laptop
2023-10-05 13:55:41.101453,240,22,0.65,0.95,1,Laptop
2023-10-05 13:55:42.209435,420,30,0.73,0.87,1,Laptop
2023-10-05 13:55:47.727587,420,30,0.9,0.93,1,Laptop
2023-10-05 13:55:52.922734,300,18,0.78,0.94,1,Laptop
2023-10-05 13:55:53.246197,300,18,0.68,0.89,1,Laptop
2023-10-05 13:55:53.581917,300,18,0.74,0.94,1,Laptop
2023-10-05 13:55:54.706602,300,18,0.94,0.83,1,Laptop
2023-10-05 13:55:56.034148,300,18,0.94,0.83,1,Laptop
2023-10-05 13:55:56.988458,300,18,0.89,0.89,1,Laptop
2023-10-05 13:55:58.295755,300,18,0.68,0.94,1,Laptop
2023-10-05 13:55:59.514722,300,18,0.94,0.89,1,Laptop
2023-10-05 13:56:00.482086,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:01.647618,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:02.864543,300,18,0.94,0.94,1,Laptop
2023-10-05 13:56:03.824931,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:05.102416,300,18,0.74,1.0,1,Laptop
2023-10-05 13:56:06.430584,300,18,0.68,0.94,1,Laptop
2023-10-05 13:56:07.403817,300,18,0.94,0.89,1,Laptop
2023-10-05 13:56:08.640183,300,18,0.78,1.0,1,Laptop
2023-10-05 13:56:09.621961,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:10.922019,300,18,0.74,0.94,1,Laptop
2023-10-05 13:56:12.365027,300,18,0.94,0.94,1,Laptop
2023-10-05 13:56:13.500844,300,18,1.0,0.83,1,Laptop
2023-10-05 13:56:14.725851,300,18,0.89,0.83,1,Laptop
2023-10-05 13:56:15.949997,300,18,0.89,0.89,1,Laptop
2023-10-05 13:56:17.178119,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:18.179732,300,18,0.94,0.94,1,Laptop
2023-10-05 13:56:19.481627,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:20.572464,300,18,0.94,0.83,1,Laptop
2023-10-05 13:56:21.894146,300,18,0.74,0.94,1,Laptop
2023-10-05 13:56:22.885542,300,18,0.94,0.89,1,Laptop
2023-10-05 13:56:24.022026,300,18,0.89,1.0,1,Laptop
2023-10-05 13:56:25.248911,300,18,0.89,1.0,1,Laptop
2023-10-05 13:56:26.578596,300,18,0.74,0.94,1,Laptop
2023-10-05 13:56:27.536320,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:28.684714,300,18,1.0,1.0,1,Laptop
2023-10-05 13:56:29.816462,300,18,1.0,1.0,1,Laptop
2023-10-05 13:56:31.076463,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:32.337510,300,18,0.68,0.83,1,Laptop
2023-10-05 13:56:33.420428,300,18,0.78,0.89,1,Laptop
2023-10-05 13:56:34.738959,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:35.803957,300,18,0.68,0.89,1,Laptop
2023-10-05 13:56:37.000379,300,18,1.0,0.94,1,Laptop
2023-10-05 13:56:38.335680,300,18,0.94,0.94,1,Laptop
2023-10-05 13:56:39.321299,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:40.625776,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:41.635028,300,18,0.94,0.89,1,Laptop
2023-10-05 13:56:42.803972,300,18,1.0,0.89,1,Laptop
2023-10-05 13:56:43.940881,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:45.004467,300,18,0.74,0.94,1,Laptop
2023-10-05 13:56:46.151028,300,18,1.0,1.0,1,Laptop
2023-10-05 13:56:47.284539,300,18,0.78,1.0,1,Laptop
2023-10-05 13:56:48.449520,300,18,1.0,0.94,1,Laptop
2023-10-05 13:56:49.435028,300,18,0.94,1.0,1,Laptop
2023-10-05 13:56:50.669781,300,18,1.0,0.94,1,Laptop
2023-10-05 13:56:52.024902,300,18,0.78,0.94,1,Laptop
2023-10-05 13:56:53.150252,300,18,1.0,0.83,1,Laptop
2023-10-05 13:56:54.229054,300,18,0.74,0.83,1,Laptop
2023-10-05 13:56:55.483869,300,18,0.74,0.89,1,Laptop
2023-10-05 13:56:56.542160,300,18,0.94,0.89,1,Laptop
2023-10-05 13:56:57.739373,300,18,0.89,0.94,1,Laptop
2023-10-05 13:56:59.080660,300,18,0.78,0.94,1,Laptop
2023-10-05 13:57:00.101310,300,18,1.0,0.89,1,Laptop
2023-10-05 13:57:01.430690,300,18,0.78,0.94,1,Laptop
2023-10-05 13:57:02.500985,300,18,0.78,0.94,1,Laptop
2023-10-05 13:57:03.813342,300,18,0.74,1.0,1,Laptop
2023-10-05 13:57:04.803677,300,18,1.0,0.89,1,Laptop
2023-10-05 13:57:06.068006,300,18,0.74,0.94,1,Laptop
2023-10-05 13:57:07.395976,300,18,0.78,0.94,1,Laptop
2023-10-05 13:57:08.502259,300,18,0.68,0.89,1,Laptop

