pixel,fps,pv,ra,stream,device,GPU
360,14,1.0,0.93,5,Orin,1
360,14,1.0,1.0,5,Orin,1
420,18,1.0,0.94,5,Orin,1
420,18,0.94,1.0,5,Orin,1
420,18,0.94,1.0,5,Orin,1
360,18,0.94,0.94,5,Orin,1
360,18,1.0,0.94,5,Orin,1
420,18,1.0,0.83,5,Orin,1
360,18,1.0,0.83,5,Orin,1
360,18,1.0,0.83,5,Orin,1
360,18,1.0,0.94,5,Orin,1
420,18,1.0,0.94,5,Orin,1
420,18,1.0,0.94,5,Orin,1
420,18,1.0,0.94,5,Orin,1
420,18,1.0,1.0,5,Orin,1
420,18,0.94,0.89,5,Orin,1
420,18,1.0,0.83,5,Orin,1
360,18,1.0,0.94,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,0.83,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,0.94,0.89,5,Orin,1
360,18,1.0,0.83,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,1.0,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,0.94,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,0.89,5,Orin,1
360,18,1.0,0.94,5,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,0.93,0.79,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,0.93,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,0.93,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,0.93,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.57,8,Orin,1
360,14,1.0,0.71,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,0.93,0.93,8,Orin,1
360,14,1.0,0.64,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.71,8,Orin,1
360,14,1.0,0.5,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.71,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.71,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,0.93,1.0,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,0.93,0.79,8,Orin,1
360,14,0.93,0.93,8,Orin,1
360,14,1.0,1.0,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,0.93,0.86,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,0.93,0.79,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.93,8,Orin,1
360,14,1.0,0.86,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,1.0,0.79,8,Orin,1
360,14,0.93,0.79,8,Orin,1
360,14,1.0,0.93,8,Orin,1
