pixel,fps,pv,ra,stream,device,GPU
360,18,1.0,0.94,5,Laptop,0
240,22,1.0,0.0,5,Nano,0
420,14,1.0,0.59,5,Xavier,0
360,18,1.0,0.78,5,Laptop,0
360,18,1.0,0.89,5,Laptop,0
420,14,1.0,0.56,5,Xavier,0
360,26,1.0,0.0,5,Nano,0
360,18,1.0,1.0,5,Laptop,0
360,18,1.0,0.89,5,Laptop,0
420,14,0.73,0.71,5,Xavier,0
360,18,1.0,0.89,5,Laptop,0
420,14,1.0,0.59,5,Xavier,0
360,18,1.0,0.94,5,Laptop,0
360,26,1.0,0.0,5,Nano,0
360,18,1.0,1.0,5,Laptop,0
420,14,1.0,0.56,5,Xavier,0
360,18,1.0,0.94,5,Laptop,0
360,18,0.94,0.83,5,Laptop,0
360,18,1.0,0.89,5,Laptop,0
420,14,1.0,0.59,5,Xavier,0
360,26,1.0,0.0,5,Nano,0
360,18,1.0,0.94,5,Laptop,0
420,14,1.0,0.56,5,Xavier,0
360,18,0.94,0.83,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
420,14,1.0,0.59,5,Xavier,0
360,18,1.0,1.0,5,Laptop,0
360,26,1.0,0.0,5,Nano,0
420,14,1.0,0.59,5,Xavier,0
360,18,1.0,0.89,5,Laptop,0
360,18,1.0,1.0,5,Laptop,0
420,14,1.0,0.56,5,Xavier,0
360,18,1.0,1.0,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
420,14,1.0,0.56,5,Xavier,0
120,30,0.0,0.0,5,Nano,0
360,18,1.0,0.94,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
420,14,1.0,0.59,5,Xavier,0
360,18,1.0,0.94,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
420,14,0.93,0.59,5,Xavier,0
120,30,0.03,0.0,5,Nano,0
360,18,1.0,1.0,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
420,14,0.93,0.64,5,Xavier,0
360,18,1.0,1.0,5,Laptop,0
360,18,1.0,0.89,5,Laptop,0
420,14,1.0,0.71,5,Xavier,0
360,26,1.0,0.0,5,Nano,0
360,18,1.0,0.89,5,Laptop,0
360,18,0.94,0.78,5,Laptop,0
420,14,0.93,0.59,5,Xavier,0
360,18,1.0,0.89,5,Laptop,0
420,14,1.0,0.59,5,Xavier,0
360,26,1.0,0.0,5,Nano,0
360,18,1.0,0.89,5,Laptop,0
360,18,1.0,0.94,5,Laptop,0
420,14,1.0,0.59,5,Xavier,0
360,18,1.0,0.83,5,Laptop,0
360,26,1.0,0.0,5,Nano,0
360,18,1.0,0.94,5,Laptop,0
