pixel,fps,pv,ra,stream,device,GPU
360,14,1.0,0.07,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.64,8,Xavier,1
360,14,1.0,0.14,3,Nano,0
360,18,1.0,0.39,4,Laptop,0
360,14,0.93,0.07,3,Nano,0
360,14,1.0,0.64,8,Xavier,1
360,18,0.94,0.83,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.0,3,Nano,0
360,18,0.94,0.94,4,Laptop,0
360,14,1.0,0.36,8,Xavier,1
360,14,1.0,0.14,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.57,8,Xavier,1
360,14,1.0,0.36,3,Nano,0
360,18,0.94,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.64,8,Xavier,1
360,14,0.86,0.0,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.21,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,14,0.93,0.57,8,Xavier,1
360,18,1.0,0.83,4,Laptop,0
360,14,1.0,0.14,3,Nano,0
360,18,0.94,0.89,4,Laptop,0
360,14,1.0,0.5,8,Xavier,1
360,14,1.0,0.29,3,Nano,0
360,18,1.0,0.83,4,Laptop,0
360,18,1.0,0.83,4,Laptop,0
360,14,1.0,0.0,3,Nano,0
360,14,1.0,0.64,8,Xavier,1
360,18,1.0,0.89,4,Laptop,0
360,14,1.0,0.14,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.57,8,Xavier,1
360,18,1.0,1.0,4,Laptop,0
360,14,1.0,0.0,3,Nano,0
360,18,1.0,1.0,4,Laptop,0
360,14,1.0,0.64,8,Xavier,1
360,18,0.94,0.94,4,Laptop,0
360,14,0.86,0.29,3,Nano,0
360,18,1.0,0.89,4,Laptop,0
360,18,1.0,1.0,4,Laptop,0
360,14,1.0,0.21,3,Nano,0
360,14,1.0,0.43,8,Xavier,1
360,18,1.0,1.0,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.14,3,Nano,0
360,14,1.0,0.71,8,Xavier,1
360,18,0.94,1.0,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.29,3,Nano,0
360,14,1.0,0.71,8,Xavier,1
360,18,1.0,0.89,4,Laptop,0
360,14,0.86,0.07,3,Nano,0
360,18,1.0,0.78,4,Laptop,0
360,14,1.0,0.71,8,Xavier,1
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.07,3,Nano,0
360,18,0.94,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,0.93,0.5,8,Xavier,1
360,14,1.0,0.29,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.57,8,Xavier,1
360,18,0.94,0.94,4,Laptop,0
360,14,1.0,0.14,3,Nano,0
360,18,1.0,0.83,4,Laptop,0
360,14,1.0,0.21,3,Nano,0
360,14,1.0,0.93,8,Xavier,1
360,18,1.0,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,0.86,0.36,3,Nano,0
360,14,1.0,0.64,8,Xavier,1
360,18,1.0,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,0.86,0.0,3,Nano,0
360,14,1.0,0.93,8,Xavier,1
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.14,3,Nano,0
360,18,0.94,0.89,4,Laptop,0
360,14,1.0,0.5,8,Xavier,1
360,18,0.94,0.94,4,Laptop,0
360,14,1.0,0.14,3,Nano,0
360,18,1.0,0.89,4,Laptop,0
360,14,1.0,0.0,3,Nano,0
360,14,1.0,0.5,8,Xavier,1
360,18,1.0,0.83,4,Laptop,0
360,14,1.0,0.07,3,Nano,0
360,18,0.94,0.83,4,Laptop,0
360,14,0.93,0.43,8,Xavier,1
360,18,1.0,0.78,4,Laptop,0
360,14,1.0,0.0,3,Nano,0
360,18,1.0,0.83,4,Laptop,0
360,14,0.93,0.5,8,Xavier,1
360,14,1.0,0.0,3,Nano,0
360,18,0.94,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.21,3,Nano,0
360,14,1.0,0.57,8,Xavier,1
360,18,1.0,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,1.0,0.29,3,Nano,0
360,14,1.0,0.29,8,Xavier,1
360,18,0.94,0.89,4,Laptop,0
360,14,1.0,0.07,3,Nano,0
360,18,1.0,0.94,4,Laptop,0
360,18,1.0,0.94,4,Laptop,0
360,14,0.93,0.43,8,Xavier,1
360,14,0.86,0.29,3,Nano,0
360,14,1.0,0.43,8,Xavier,1
