pixel,fps,pv,ra,stream,device,GPU
300,14,0.93,0.79,4,Xavier,1
300,14,1.0,0.79,4,Xavier,1
240,30,1.0,0.27,8,Laptop,0
300,14,0.73,0.86,4,Xavier,1
300,14,1.0,0.79,4,Xavier,1
300,14,0.93,0.79,4,Xavier,1
240,30,1.0,0.23,8,Laptop,0
300,14,1.0,0.86,4,Xavier,1
300,14,0.93,0.71,4,Xavier,1
360,22,1.0,0.45,8,Laptop,0
300,14,1.0,0.79,4,Xavier,1
360,22,1.0,0.41,8,Laptop,0
300,14,0.73,0.86,4,Xavier,1
300,14,1.0,0.86,4,Xavier,1
300,14,1.0,0.86,4,Xavier,1
300,14,0.73,0.79,4,Xavier,1
300,14,1.0,0.71,4,Xavier,1
300,14,0.73,0.86,3,Xavier,1
300,14,1.0,0.86,3,Xavier,1
420,22,1.0,0.86,3,Xavier,1
420,22,1.0,0.77,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
180,22,0.68,1.0,1,Laptop,0
240,22,1.0,0.82,3,Xavier,1
180,22,1.0,0.91,6,Laptop,0
240,22,1.0,0.73,3,Xavier,1
300,22,1.0,0.86,3,Xavier,1
300,22,0.95,0.82,3,Xavier,1
420,30,1.0,0.33,6,Laptop,0
420,30,1.0,0.17,6,Laptop,0
240,22,0.82,0.73,3,Xavier,1
240,22,1.0,0.59,6,Laptop,0
240,22,0.82,0.77,3,Xavier,1
240,22,0.82,0.77,3,Xavier,1
240,22,0.95,0.73,6,Laptop,0
240,22,1.0,0.68,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
360,30,1.0,0.23,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
360,30,1.0,0.17,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
420,14,1.0,0.79,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
420,14,1.0,0.86,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
360,18,0.94,0.78,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
360,18,1.0,0.17,6,Laptop,0
240,22,1.0,0.91,3,Xavier,1
300,18,1.0,0.94,6,Laptop,0
300,18,1.0,0.89,6,Laptop,0
240,22,0.82,0.82,3,Xavier,1
180,18,0.46,0.94,6,Laptop,0
240,22,1.0,0.64,3,Xavier,1
180,18,0.89,0.83,6,Laptop,0
240,22,0.95,0.68,3,Xavier,1
420,14,1.0,0.86,6,Laptop,0
420,14,0.93,0.93,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
420,14,1.0,0.93,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
420,14,0.93,0.93,6,Laptop,0
420,14,1.0,0.93,6,Laptop,0
240,22,1.0,0.68,3,Xavier,1
420,14,1.0,0.86,6,Laptop,0
240,22,0.82,0.77,3,Xavier,1
420,14,1.0,0.79,6,Laptop,0
240,22,1.0,0.73,3,Xavier,1
420,14,0.93,0.93,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
420,14,1.0,0.79,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,30,1.0,0.13,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.91,3,Xavier,1
240,30,1.0,0.27,6,Laptop,0
240,22,1.0,0.95,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
360,26,0.92,0.42,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
360,26,1.0,0.5,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
360,22,1.0,0.41,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,0.82,0.82,3,Xavier,1
360,22,1.0,0.5,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
420,18,1.0,0.39,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
420,18,1.0,0.61,6,Laptop,0
240,22,1.0,0.91,3,Xavier,1
240,22,1.0,0.91,3,Xavier,1
300,22,0.87,0.5,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
300,22,1.0,0.36,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
240,22,1.0,0.73,3,Xavier,1
300,30,0.9,0.37,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.91,3,Xavier,1
300,30,1.0,0.3,6,Laptop,0
240,22,0.95,0.82,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
240,30,1.0,0.1,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
240,30,1.0,0.07,6,Laptop,0
240,22,0.95,0.86,3,Xavier,1
240,22,1.0,0.73,3,Xavier,1
240,30,1.0,0.03,6,Laptop,0
240,22,1.0,0.68,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
420,26,1.0,0.38,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
240,22,0.95,0.86,3,Xavier,1
420,26,1.0,0.19,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
300,26,1.0,0.19,6,Laptop,0
240,22,1.0,0.73,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
300,26,0.88,0.19,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
240,26,1.0,0.42,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,26,1.0,0.15,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
420,26,1.0,0.31,6,Laptop,0
240,22,1.0,0.91,3,Xavier,1
240,22,1.0,0.73,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
420,26,1.0,0.35,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,0.82,0.82,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
420,26,1.0,0.19,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
240,30,0.87,0.07,6,Laptop,0
240,22,1.0,0.91,3,Xavier,1
240,22,0.82,0.86,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
240,30,1.0,0.03,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
240,30,1.0,0.17,6,Laptop,0
240,22,1.0,0.82,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
240,26,1.0,0.31,6,Laptop,0
240,22,1.0,0.86,3,Xavier,1
240,22,1.0,0.91,3,Xavier,1
240,22,1.0,0.86,3,Xavier,1
240,26,1.0,0.23,6,Laptop,0
240,22,1.0,0.91,3,Xavier,1
240,26,1.0,0.19,6,Laptop,0
240,22,1.0,0.77,3,Xavier,1
240,22,1.0,0.77,3,Xavier,1
240,30,1.0,0.2,6,Laptop,0
240,22,1.0,0.68,3,Xavier,1
240,22,1.0,0.55,3,Xavier,1
240,22,1.0,0.82,3,Xavier,1
