pixel,fps,pv,ra,stream,device,GPU
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.92,1,Xavier,1
420,30,1.0,0.57,1,Laptop,0
360,26,1.0,0.88,1,Xavier,1
420,30,1.0,0.87,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.88,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,30,1.0,0.9,1,Laptop,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
360,26,0.92,0.85,1,Xavier,1
420,30,1.0,0.9,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
360,26,0.92,0.85,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
240,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
240,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.9,1,Laptop,0
360,26,1.0,0.88,1,Xavier,1
420,30,1.0,0.9,1,Laptop,0
360,26,0.92,0.92,1,Xavier,1
420,30,1.0,0.87,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.77,1,Xavier,1
420,30,1.0,0.87,1,Laptop,0
360,26,0.92,0.81,1,Xavier,1
420,30,1.0,0.9,1,Laptop,0
420,30,1.0,0.87,1,Laptop,0
360,26,1.0,0.77,1,Xavier,1
420,30,1.0,0.87,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.8,1,Laptop,0
360,26,1.0,0.81,1,Xavier,1
420,30,1.0,0.87,1,Laptop,0
420,30,1.0,0.9,1,Laptop,0
360,26,1.0,0.92,1,Xavier,1
