pixel,fps,pv,ra,stream,device
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
420,14,1.0,0.94,1,Xavier
420,14,1.0,0.93,1,Xavier
420,14,1.0,0.93,1,Xavier
420,14,1.0,0.86,1,Xavier
420,14,1.0,0.79,1,Xavier
420,14,0.79,0.93,1,Xavier
420,14,0.93,0.86,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.89,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.89,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.89,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.94,0.89,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.89,0.89,1,Xavier
