pixel,fps,pv,ra,stream,device
180,22,0.95,0.95,1,Xavier
180,22,0.95,0.09,1,Xavier
120,30,0.16,0.93,1,Xavier
120,30,0.09,0.93,1,Xavier
240,22,1.0,0.0,1,Xavier
240,22,1.0,0.41,1,Xavier
420,14,1.0,0.93,1,Xavier
420,14,1.0,0.86,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
420,30,1.0,0.3,1,Xavier
420,30,1.0,0.25,1,Xavier
360,14,1.0,0.5,1,Xavier
360,14,1.0,0.71,1,Xavier
420,18,0.94,0.89,1,Xavier
420,18,1.0,0.83,1,Xavier
420,26,0.92,0.96,1,Xavier
420,26,1.0,0.88,1,Xavier
420,18,0.94,0.89,1,Xavier
420,18,1.0,0.83,1,Xavier
360,18,1.0,0.89,1,Xavier
360,18,1.0,0.89,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.92,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,0.92,0.96,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,0.92,0.96,1,Xavier
420,26,1.0,0.85,1,Xavier
420,26,1.0,0.88,1,Xavier
360,18,1.0,0.83,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,0.94,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.89,1,Xavier
360,18,0.89,0.94,1,Xavier
360,18,0.89,0.83,1,Xavier
360,18,0.89,0.83,1,Xavier
420,26,1.0,0.92,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.85,1,Xavier
420,26,1.0,0.85,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.92,1,Xavier
420,26,1.0,0.92,1,Xavier
420,26,0.92,0.92,1,Xavier
420,26,0.92,0.88,1,Xavier
360,18,0.89,0.78,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,0.89,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.83,1,Xavier
360,18,1.0,0.83,1,Xavier
360,18,1.0,0.89,1,Xavier
360,18,1.0,0.89,1,Xavier
360,18,1.0,0.83,1,Xavier
360,18,1.0,0.83,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.92,1,Xavier
420,26,0.92,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
360,18,1.0,0.83,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,0.94,0.94,1,Xavier
360,18,0.89,0.83,1,Xavier
360,18,0.89,0.89,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.85,1,Xavier
420,26,1.0,0.88,1,Xavier
360,18,0.89,0.78,1,Xavier
360,18,1.0,0.83,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,1.0,0.96,1,Xavier
420,26,0.92,0.92,1,Xavier
420,26,1.0,0.92,1,Xavier
420,26,1.0,0.85,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,0.92,0.96,1,Xavier
420,26,1.0,0.85,1,Xavier
420,26,1.0,0.88,1,Xavier
420,26,0.92,0.96,1,Xavier
420,26,0.92,0.92,1,Xavier
420,26,1.0,0.88,1,Xavier
360,18,0.89,0.83,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,1.0,0.94,1,Xavier
360,18,0.94,0.94,1,Xavier
360,18,0.94,0.83,1,Xavier
360,18,1.0,0.89,1,Xavier
