pixel,fps,pv,ra,stream,model,GPU,surprise
360,22,1.0,0.91,3,Orin,1,4717
360,22,0.95,0.86,3,Orin,1,4698
360,22,1.0,0.95,3,Orin,1,4801
360,22,1.0,0.95,3,Orin,1,4716
360,22,1.0,0.91,3,Orin,1,4715
360,22,1.0,0.82,3,Orin,1,4710
360,22,1.0,0.86,3,Orin,1,4787
360,22,1.0,0.86,3,Orin,1,4726
360,22,0.95,0.86,3,Orin,1,4720
360,22,0.95,0.86,3,Orin,1,4720
360,22,1.0,0.73,3,Orin,1,4716
360,22,1.0,0.82,3,Orin,1,4747
360,22,1.0,0.77,3,Orin,1,4731
360,22,1.0,0.82,3,Orin,1,4712
360,22,1.0,0.95,3,Orin,1,4705
360,22,1.0,0.91,3,Orin,1,4717
360,22,0.95,0.86,3,Orin,1,4699
360,22,1.0,0.95,3,Orin,1,4801
360,22,1.0,0.95,3,Orin,1,4716
360,22,1.0,0.91,3,Orin,1,4715
360,22,1.0,0.82,3,Orin,1,4710
360,22,1.0,0.86,3,Orin,1,4687
360,22,1.0,0.86,3,Orin,1,4726
360,22,0.95,0.86,3,Orin,1,4714
360,22,0.95,0.86,3,Orin,1,4720
360,22,1.0,0.73,3,Orin,1,4716
360,22,1.0,0.82,3,Orin,1,4730
360,22,1.0,0.77,3,Orin,1,4731
360,22,1.0,0.82,3,Orin,1,4712
360,22,1.0,0.95,3,Orin,1,4705
360,22,1.0,0.91,3,Orin,1,4717
360,22,1.0,0.91,3,Nano,1,4507
360,22,1.0,0.91,3,Nano,1,4505
360,22,0.95,0.82,3,Nano,1,4501
360,22,1.0,0.91,3,Nano,1,4499
360,22,0.95,1.0,3,Nano,1,4511
360,22,1.0,0.95,3,Nano,1,4503
360,22,1.0,0.95,3,Nano,1,4501
360,22,1.0,0.77,3,Nano,1,4510
360,22,1.0,0.86,3,Nano,1,4500
360,22,1.0,0.86,3,Nano,1,4507
360,22,1.0,0.91,3,Nano,1,4504
360,22,1.0,0.86,3,Nano,1,4502
360,22,1.0,0.91,3,Nano,1,4508
360,22,1.0,0.86,3,Nano,1,4598
360,22,1.0,0.86,3,Nano,1,4523
360,22,1.0,0.91,3,Nano,1,4507
360,22,1.0,0.91,3,Nano,1,4505
360,22,0.95,0.82,3,Nano,1,4501
360,22,1.0,0.91,3,Nano,1,4499
360,22,0.95,1.0,3,Nano,1,4511
360,22,1.0,0.95,3,Nano,1,4503
360,22,1.0,0.95,3,Nano,1,4501
360,22,1.0,0.77,3,Nano,1,4510
360,22,1.0,0.86,3,Nano,1,4500
360,22,1.0,0.86,3,Nano,1,4507
360,22,1.0,0.91,3,Nano,1,4504
360,22,1.0,0.86,3,Nano,1,4502
360,22,1.0,0.91,3,Nano,1,4508
360,22,1.0,0.86,3,Nano,1,4480
360,22,1.0,0.86,3,Nano,1,4523
360,22,0.95,0.82,3,Nano,1,4501
360,22,1.0,0.86,3,Xavier CPU,1,2780
360,22,1.0,0.91,3,Xavier CPU,1,2795
360,22,1.0,0.82,3,Xavier CPU,1,2787
360,22,1.0,0.91,3,Xavier CPU,1,2787
360,22,1.0,0.91,3,Xavier CPU,1,2789
360,22,0.95,0.91,3,Xavier CPU,1,2798
360,22,1.0,0.91,3,Xavier CPU,1,2804
360,22,1.0,0.91,3,Xavier CPU,1,2784
360,22,1.0,0.91,3,Xavier CPU,1,2789
360,22,1.0,0.59,3,Xavier CPU,1,2816
360,22,1.0,0.86,3,Xavier CPU,1,2812
360,22,1.0,0.91,3,Xavier CPU,1,2814
360,22,1.0,0.77,3,Xavier CPU,1,2779
360,22,0.95,0.82,3,Xavier CPU,1,2832
360,22,0.95,0.86,3,Xavier CPU,1,2826
360,22,1.0,0.86,3,Xavier CPU,1,2820
360,22,1.0,0.91,3,Xavier CPU,1,2795
360,22,1.0,0.82,3,Xavier CPU,1,2787
360,22,1.0,0.91,3,Xavier CPU,1,2787
360,22,1.0,0.91,3,Xavier CPU,1,2749
360,22,0.95,0.91,3,Xavier CPU,1,2790
360,22,1.0,0.91,3,Xavier CPU,1,2856
360,22,1.0,0.91,3,Xavier CPU,1,2784
360,22,1.0,0.91,3,Xavier CPU,1,2790
