execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
14,2023-06-02 11:51:50.546689,8.0,86.7,25440,12,False,0,22,
11,2023-06-02 11:51:50.627447,39.4,86.7,25440,12,False,0,22,
10,2023-06-02 11:51:50.710074,42.1,86.7,25440,12,False,0,22,
12,2023-06-02 11:51:50.795701,39.4,86.7,25440,12,False,0,22,
9,2023-06-02 11:51:50.876582,43.6,86.7,25440,12,False,0,22,
14,2023-06-02 11:51:50.964770,39.4,86.7,25440,12,False,0,22,
7,2023-06-02 11:51:51.042422,42.0,86.7,25440,12,False,0,22,
17,2023-06-02 11:51:51.136862,38.8,86.7,25440,12,False,0,22,
6,2023-06-02 11:51:51.210248,47.8,86.7,25440,12,False,0,22,
16,2023-06-02 11:51:51.303268,37.0,86.7,25440,12,False,0,22,
6,2023-06-02 11:51:51.378492,45.8,86.7,25440,12,False,0,22,
17,2023-06-02 11:51:51.472518,39.5,86.7,25440,12,False,0,22,
7,2023-06-02 11:51:51.547378,46.6,86.7,25440,12,False,0,22,
16,2023-06-02 11:51:51.640572,39.2,86.7,25440,12,False,0,22,
6,2023-06-02 11:51:51.714769,46.1,86.7,25440,12,False,0,22,
18,2023-06-02 11:51:51.810262,39.0,86.7,25440,12,False,0,22,
7,2023-06-02 11:51:51.882806,48.2,86.7,25440,12,False,0,22,
14,2023-06-02 11:51:51.974167,39.2,86.7,25440,12,False,0,22,
18,2023-06-02 11:51:52.061830,47.5,86.7,25440,12,True,349.0,22,
18,2023-06-02 11:51:52.145845,34.3,86.7,25440,12,False,349.0,22,
6,2023-06-02 11:51:52.218020,51.8,86.7,25440,12,False,349.0,22,
13,2023-06-02 11:51:52.308015,37.1,86.7,25440,12,False,349.0,22,
13,2023-06-02 11:51:52.392984,37.3,86.7,25440,12,False,349.0,22,
8,2023-06-02 11:51:52.471184,45.5,86.7,25440,12,False,349.0,22,
16,2023-06-02 11:51:52.563246,39.0,86.7,25440,12,False,349.0,22,
6,2023-06-02 11:51:52.637615,50.8,86.7,25440,12,False,349.0,22,
16,2023-06-02 11:51:52.731340,35.0,86.7,25440,12,False,349.0,22,
7,2023-06-02 11:51:52.805972,48.8,86.7,25440,12,False,349.0,22,
10,2023-06-02 11:51:52.893377,34.1,86.7,25440,12,False,349.0,22,
15,2023-06-02 11:51:52.982389,39.1,86.7,25440,12,False,349.0,22,
