execution_time,memory_usage,fps,success,pixel,distance,consumption,cpu_utilization,device_type,GPU,Config
58.0,48.9,26,True,921600,9,7,100.0,Nano 2GB,False,None
53.0,48.3,12,True,230400,24,6,80.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,8,8,100.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,593,7,100.0,Nano 2GB,False,None
71.0,48.4,16,True,921600,23,8,96.0,Nano 2GB,False,None
52.0,44.3,26,False,25440,609,8,100.0,Nano 2GB,False,None
123.0,48.9,16,True,921600,15,8,100.0,Nano 2GB,False,None
50.0,43.9,30,False,25440,41,8,100.0,Nano 2GB,False,None
57.0,48.3,16,True,230400,16,7,96.0,Nano 2GB,False,None
55.0,45.5,20,True,102240,15,8,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,18,8,100.0,Nano 2GB,False,None
57.0,47.8,26,True,102240,8,9,100.0,Nano 2GB,False,None
57.0,47.9,26,True,230400,8,8,100.0,Nano 2GB,False,None
59.0,48.9,20,True,921600,2,7,100.0,Nano 2GB,False,None
63.0,49.0,26,True,921600,8,7,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
49.0,44.3,20,False,25440,595,8,100.0,Nano 2GB,False,None
130.0,45.8,12,True,102240,18,7,77.1,Nano 2GB,False,None
50.0,48.3,12,True,230400,33,6,76.5,Nano 2GB,False,None
50.0,43.9,30,False,25440,59,8,100.0,Nano 2GB,False,None
58.0,48.9,20,True,921600,21,7,93.1,Nano 2GB,False,None
59.0,48.5,16,True,409920,8,7,100.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,6,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
61.0,48.5,30,True,921600,5,8,100.0,Nano 2GB,False,None
51.0,45.5,12,True,102240,9,7,86.7,Nano 2GB,False,None
57.0,48.3,16,True,230400,17,7,100.0,Nano 2GB,False,None
53.0,47.7,26,True,102240,10,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,610,8,100.0,Nano 2GB,False,None
56.0,48.3,12,True,230400,4,7,78.8,Nano 2GB,False,None
60.0,48.6,30,True,921600,5,8,100.0,Nano 2GB,False,None
53.0,44.8,30,True,57600,9,8,100.0,Nano 2GB,False,None
57.0,48.9,20,True,921600,20,7,100.0,Nano 2GB,False,None
56.0,48.5,12,True,409920,19,7,75.8,Nano 2GB,False,None
55.0,47.7,26,True,102240,6,8,90.3,Nano 2GB,False,None
59.0,47.9,30,True,230400,20,8,100.0,Nano 2GB,False,None
52.0,45.5,12,True,102240,12,7,77.1,Nano 2GB,False,None
58.0,48.1,30,True,409920,11,8,100.0,Nano 2GB,False,None
52.0,44.8,30,True,57600,0,8,100.0,Nano 2GB,False,None
52.0,47.7,26,True,102240,11,8,100.0,Nano 2GB,False,None
50.0,44.3,26,False,25440,610,8,100.0,Nano 2GB,False,None
59.0,48.6,20,True,409920,19,7,100.0,Nano 2GB,False,None
49.0,43.8,16,False,25440,577,7,92.3,Nano 2GB,False,None
51.0,48.3,12,True,230400,21,6,77.1,Nano 2GB,False,None
53.0,48.5,12,True,409920,35,7,85.3,Nano 2GB,False,None
57.0,47.9,26,True,230400,12,8,100.0,Nano 2GB,False,None
62.0,48.5,16,True,409920,3,8,100.0,Nano 2GB,False,None
60.0,48.6,30,True,921600,21,8,100.0,Nano 2GB,False,None
48.0,44.0,30,False,25440,486,8,100.0,Nano 2GB,False,None
48.0,43.8,16,False,25440,577,7,96.0,Nano 2GB,False,None
59.0,47.9,26,True,230400,8,8,100.0,Nano 2GB,False,None
50.0,44.3,20,False,25440,593,8,100.0,Nano 2GB,False,None
52.0,47.7,26,True,102240,8,8,100.0,Nano 2GB,False,None
59.0,47.8,20,True,230400,16,8,100.0,Nano 2GB,False,None
59.0,48.1,30,True,409920,3,8,100.0,Nano 2GB,False,None
56.0,44.4,12,False,25440,27,7,100.0,Nano 2GB,False,None
60.0,48.4,16,True,921600,13,8,100.0,Nano 2GB,False,None
53.0,48.3,12,True,921600,17,7,79.4,Nano 2GB,False,None
48.0,43.9,12,False,25440,27,6,73.5,Nano 2GB,False,None
50.0,48.3,12,True,230400,17,6,78.8,Nano 2GB,False,None
56.0,47.7,30,True,102240,9,8,100.0,Nano 2GB,False,None
58.0,47.7,26,True,102240,0,8,100.0,Nano 2GB,False,None
