execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption
40,2023-06-07 11:49:01.257355,12.3,40.2,25440,12,False,0,7
26,2023-06-07 11:49:01.327380,27.6,40.2,25440,12,False,0,7
25,2023-06-07 11:49:01.409959,18.2,40.2,25440,12,False,0,7
25,2023-06-07 11:49:01.494352,20.6,40.2,25440,12,False,0,7
26,2023-06-07 11:49:01.579728,20.6,40.2,25440,12,False,0,7
27,2023-06-07 11:49:01.665102,47.1,40.3,25440,12,False,0,7
24,2023-06-07 11:49:01.745827,39.4,40.3,25440,12,False,0,7
25,2023-06-07 11:49:01.830628,33.3,40.3,25440,12,False,0,7
24,2023-06-07 11:49:01.913354,27.3,40.3,25440,12,False,0,7
24,2023-06-07 11:49:01.997164,18.8,40.3,25440,12,False,0,7
24,2023-06-07 11:49:02.081643,17.6,40.3,25440,12,False,0,7
24,2023-06-07 11:49:02.165047,21.2,40.3,25440,12,False,0,7
24,2023-06-07 11:49:02.249492,22.2,40.3,25440,12,False,0,7
25,2023-06-07 11:49:02.333931,18.2,40.3,25440,12,False,0,7
25,2023-06-07 11:49:02.417694,21.9,40.3,25440,12,False,0,7
24,2023-06-07 11:49:02.500437,20.6,40.3,25440,12,False,0,7
25,2023-06-07 11:49:02.585513,21.2,40.3,25440,12,False,0,7
28,2023-06-07 11:49:02.671576,48.6,40.3,25440,12,False,0,7
28,2023-06-07 11:49:02.756462,35.3,40.3,25440,12,True,349.0,7
25,2023-06-07 11:49:02.837421,32.3,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:02.920186,18.8,40.3,25440,12,False,349.0,7
25,2023-06-07 11:49:03.004314,18.7,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.087894,20.6,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.171339,18.2,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.256429,20.6,40.3,25440,12,False,349.0,7
25,2023-06-07 11:49:03.341303,18.2,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.423853,20.6,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.508278,15.6,40.3,25440,12,False,349.0,7
30,2023-06-07 11:49:03.599069,25.7,40.3,25440,12,False,349.0,7
27,2023-06-07 11:49:03.679855,46.9,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.761451,31.2,40.3,25440,12,False,349.0,7
24,2023-06-07 11:49:03.845172,23.5,40.3,25440,12,False,349.0,7
28,2023-06-07 11:49:03.932668,30.3,40.3,25440,12,True,225.0,7
27,2023-06-07 11:49:04.016399,48.6,40.3,25440,12,True,10.0,7
28,2023-06-07 11:49:04.101431,27.3,40.3,25440,12,True,43.0,7
24,2023-06-07 11:49:04.181337,21.9,40.3,25440,12,False,43.0,7
24,2023-06-07 11:49:04.265483,18.8,40.3,25440,12,False,43.0,7
24,2023-06-07 11:49:04.350290,20.0,40.3,25440,12,False,43.0,7
24,2023-06-07 11:49:04.433979,21.9,40.3,25440,12,False,43.0,7
27,2023-06-07 11:49:04.521307,45.7,40.3,25440,12,False,43.0,7
28,2023-06-07 11:49:04.606143,40.0,40.3,25440,12,False,43.0,7
28,2023-06-07 11:49:04.689482,48.5,40.3,25440,12,False,43.0,7
26,2023-06-07 11:49:04.771422,34.3,40.3,25440,12,True,437.0,7
28,2023-06-07 11:49:04.857922,35.3,40.3,25440,12,False,437.0,7
24,2023-06-07 11:49:04.937856,21.9,40.3,25440,12,False,437.0,7
24,2023-06-07 11:49:05.021168,15.6,40.3,25440,12,False,437.0,7
24,2023-06-07 11:49:05.105848,20.6,40.3,25440,12,False,437.0,7
24,2023-06-07 11:49:05.189223,20.6,40.3,25440,12,False,437.0,7
24,2023-06-07 11:49:05.273765,20.6,40.3,25440,12,False,437.0,7
26,2023-06-07 11:49:05.359666,22.9,40.3,25440,12,True,117.0,7
27,2023-06-07 11:49:05.443878,23.5,40.3,25440,12,True,27.0,7
24,2023-06-07 11:49:05.525295,25.8,40.3,25440,12,False,27.0,7
26,2023-06-07 11:49:05.611093,29.4,40.3,25440,12,False,27.0,7
28,2023-06-07 11:49:05.697006,43.8,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:05.778051,32.4,40.3,25440,12,False,27.0,7
27,2023-06-07 11:49:05.864635,29.4,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:05.945822,21.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:06.030498,23.5,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:06.114431,20.6,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:06.198353,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:06.281598,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:06.366252,20.6,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:06.449756,18.2,40.3,25440,12,False,27.0,7
25,2023-06-07 11:49:06.534764,20.6,40.3,25440,12,False,27.0,7
26,2023-06-07 11:49:06.620339,33.3,40.3,25440,12,False,27.0,7
27,2023-06-07 11:49:06.704990,45.7,40.3,25440,12,False,27.0,7
25,2023-06-07 11:49:06.787237,29.4,40.3,25440,12,False,27.0,7
25,2023-06-07 11:49:06.871204,36.4,40.3,25440,12,False,27.0,7
149,2023-06-07 11:49:07.078559,40.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.104630,50.0,40.3,25440,12,False,27.0,7
26,2023-06-07 11:49:07.189756,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.271974,21.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.356816,15.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.440100,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.524359,15.6,40.3,25440,12,False,27.0,7
27,2023-06-07 11:49:07.612414,27.3,40.3,25440,12,False,27.0,7
26,2023-06-07 11:49:07.694751,48.5,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.777330,25.0,40.3,25440,12,False,27.0,7
26,2023-06-07 11:49:07.863159,37.8,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:07.944492,21.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.028516,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.112531,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.196861,21.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.281176,20.6,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.365612,20.6,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.449257,18.2,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.532876,18.2,40.3,25440,12,False,27.0,7
27,2023-06-07 11:49:08.620455,29.4,40.3,25440,12,False,27.0,7
27,2023-06-07 11:49:08.704677,51.4,40.3,25440,12,False,27.0,7
24,2023-06-07 11:49:08.786273,36.1,40.3,25440,12,False,27.0,7
25,2023-06-07 11:49:08.870425,32.4,40.3,25440,12,False,27.0,7
