execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
78,2023-06-07 10:47:12.745990,13.1,40.2,25440,12,False,0,6,
69,2023-06-07 10:47:12.820240,53.3,40.3,25440,12,False,0,6,
60,2023-06-07 10:47:12.894954,50.0,40.3,25440,12,False,0,6,
42,2023-06-07 10:47:12.962364,46.2,40.3,25440,12,False,0,6,
38,2023-06-07 10:47:13.041949,30.0,40.3,25440,12,False,0,6,
35,2023-06-07 10:47:13.122881,31.3,40.3,25440,12,False,0,6,
35,2023-06-07 10:47:13.206243,48.5,40.3,25440,12,False,0,6,
36,2023-06-07 10:47:13.291148,58.8,40.3,25440,12,False,0,6,
35,2023-06-07 10:47:13.374176,29.0,40.3,25440,12,False,0,6,
32,2023-06-07 10:47:13.455844,44.1,40.3,25440,12,False,0,6,
31,2023-06-07 10:47:13.539710,26.5,40.3,25440,12,False,0,6,
32,2023-06-07 10:47:13.624147,25.0,40.3,25440,12,False,0,6,
32,2023-06-07 10:47:13.707666,24.2,40.3,25440,12,False,0,6,
31,2023-06-07 10:47:13.791259,24.2,40.3,25440,12,False,0,6,
32,2023-06-07 10:47:13.875465,26.5,40.3,25440,12,False,0,6,
31,2023-06-07 10:47:13.958914,26.5,40.3,25440,12,False,0,6,
31,2023-06-07 10:47:14.043331,21.2,40.3,25440,12,False,0,6,
33,2023-06-07 10:47:14.128499,24.2,40.3,25440,12,False,0,6,
39,2023-06-07 10:47:14.219249,58.3,40.3,25440,12,True,349.0,6,
35,2023-06-07 10:47:14.299523,51.6,40.3,25440,12,False,349.0,6,
33,2023-06-07 10:47:14.380675,29.0,40.3,25440,12,False,349.0,6,
34,2023-06-07 10:47:14.466832,39.4,40.3,25440,12,False,349.0,6,
33,2023-06-07 10:47:14.549427,21.9,40.3,25440,12,False,349.0,6,
31,2023-06-07 10:47:14.630889,29.4,40.3,25440,12,False,349.0,6,
31,2023-06-07 10:47:14.714983,24.2,40.3,25440,12,False,349.0,6,
32,2023-06-07 10:47:14.800450,45.5,40.3,25440,12,False,349.0,6,
34,2023-06-07 10:47:14.886542,47.1,40.3,25440,12,False,349.0,6,
33,2023-06-07 10:47:14.969628,28.6,40.3,25440,12,False,349.0,6,
32,2023-06-07 10:47:15.052353,25.0,40.3,25440,12,False,349.0,6,
32,2023-06-07 10:47:15.136433,27.3,40.3,25440,12,False,349.0,6,
34,2023-06-07 10:47:15.222066,52.9,40.3,25440,12,False,349.0,6,
35,2023-06-07 10:47:15.307034,54.3,40.3,25440,12,False,349.0,6,
40,2023-06-07 10:47:15.395791,29.4,40.3,25440,12,True,225.0,7,
41,2023-06-07 10:47:15.480672,68.7,40.3,25440,12,True,10.0,7,
36,2023-06-07 10:47:15.559813,45.5,40.3,25440,12,True,43.0,7,
34,2023-06-07 10:47:15.641086,25.0,40.3,25440,12,False,43.0,7,
32,2023-06-07 10:47:15.724023,25.0,40.3,25440,12,False,43.0,7,
31,2023-06-07 10:47:15.807210,24.2,40.3,25440,12,False,43.0,7,
33,2023-06-07 10:47:15.892677,23.5,40.3,25440,12,False,43.0,7,
33,2023-06-07 10:47:15.976956,25.0,40.3,25440,12,False,43.0,7,
32,2023-06-07 10:47:16.060960,31.4,40.3,25440,12,False,43.0,7,
33,2023-06-07 10:47:16.146233,27.3,40.3,25440,12,False,43.0,7,
44,2023-06-07 10:47:16.240912,53.8,40.3,25440,12,True,437.0,7,
33,2023-06-07 10:47:16.314097,51.7,40.3,25440,12,False,437.0,7,
36,2023-06-07 10:47:16.400826,38.9,40.3,25440,12,False,437.0,7,
33,2023-06-07 10:47:16.481724,37.5,40.3,25440,12,False,437.0,7,
32,2023-06-07 10:47:16.565198,29.4,40.3,25440,12,False,437.0,7,
33,2023-06-07 10:47:16.649645,29.4,40.3,25440,12,False,437.0,7,
33,2023-06-07 10:47:16.733815,28.6,40.3,25440,12,False,437.0,7,
33,2023-06-07 10:47:16.817684,25.0,40.3,25440,12,True,117.0,7,
34,2023-06-07 10:47:16.902541,27.8,40.3,25440,12,True,27.0,7,
31,2023-06-07 10:47:16.983007,23.3,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:17.067987,33.3,40.3,25440,12,False,27.0,7,
34,2023-06-07 10:47:17.154395,51.5,40.3,25440,12,False,27.0,7,
38,2023-06-07 10:47:17.242880,61.1,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:17.320899,50.0,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:17.404667,32.4,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:17.486880,40.6,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:17.571974,23.5,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:17.656954,21.9,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:17.739550,28.6,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:17.823926,24.2,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:17.908435,29.4,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:17.991433,24.2,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:18.075999,23.5,40.3,25440,12,False,27.0,7,
34,2023-06-07 10:47:18.163037,31.3,40.3,25440,12,False,27.0,7,
36,2023-06-07 10:47:18.249079,51.4,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:18.328685,48.5,40.3,25440,12,False,27.0,7,
33,2023-06-07 10:47:18.412937,30.3,40.3,25440,12,False,27.0,7,
33,2023-06-07 10:47:18.497259,44.1,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:18.580627,28.6,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:18.664528,24.2,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:18.747911,24.2,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:18.832540,24.2,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:18.916642,26.5,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:19.000254,23.5,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:19.084729,29.4,40.3,25440,12,False,27.0,7,
36,2023-06-07 10:47:19.172987,38.9,40.3,25440,12,False,27.0,7,
34,2023-06-07 10:47:19.255490,53.1,40.3,25440,12,False,27.0,7,
33,2023-06-07 10:47:19.338797,44.1,40.3,25440,12,False,27.0,7,
36,2023-06-07 10:47:19.426505,37.1,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:19.504572,33.3,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:19.588712,26.5,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:19.672481,24.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:19.756179,21.9,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:19.840384,26.5,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:19.924918,25.7,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:20.009053,23.5,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:20.093643,24.2,40.3,25440,12,False,27.0,7,
35,2023-06-07 10:47:20.181730,37.1,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:20.262880,61.1,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:20.345198,35.5,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:20.430289,32.4,40.3,25440,12,False,27.0,7,
33,2023-06-07 10:47:20.515940,50.0,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:20.597607,22.6,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:20.680827,42.4,40.3,25440,12,False,27.0,7,
38,2023-06-07 10:47:20.772609,41.7,40.3,25440,12,False,27.0,7,
33,2023-06-07 10:47:20.851029,33.3,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:20.933278,21.9,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:21.017648,24.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:21.101847,18.7,40.3,25440,12,False,27.0,7,
34,2023-06-07 10:47:21.189368,42.9,40.3,25440,12,False,27.0,7,
37,2023-06-07 10:47:21.276888,52.8,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:21.355894,35.5,40.3,25440,12,False,27.0,7,
34,2023-06-07 10:47:21.441545,44.1,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:21.521543,29.0,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:21.606393,24.2,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:21.690449,25.7,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:21.773560,24.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:21.857614,21.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:21.941759,21.9,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:22.026540,24.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:22.109674,26.5,40.3,25440,12,False,27.0,7,
35,2023-06-07 10:47:22.198847,54.1,40.3,25440,12,False,27.0,7,
37,2023-06-07 10:47:22.284225,71.9,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:22.362485,48.4,40.3,25440,12,False,27.0,7,
38,2023-06-07 10:47:22.453872,40.0,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:22.531548,29.0,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:22.614866,23.5,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:22.698525,29.4,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:22.783904,21.9,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:22.866644,24.2,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:22.914003,63.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:22.996146,25.0,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:23.080425,23.5,40.3,25440,12,False,27.0,7,
36,2023-06-07 10:47:23.170327,34.3,40.3,25440,12,False,27.0,7,
45,2023-06-07 10:47:23.262925,60.0,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:23.331925,42.3,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:23.415398,30.3,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:23.499543,36.4,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:23.583603,26.5,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:23.667687,21.2,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:23.752094,28.6,40.3,25440,12,False,27.0,7,
31,2023-06-07 10:47:23.836873,24.2,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:23.919760,25.0,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:24.004970,25.7,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:24.089549,26.5,40.3,25440,12,False,27.0,7,
35,2023-06-07 10:47:24.176216,34.3,40.3,25440,12,False,27.0,7,
32,2023-06-07 10:47:24.258055,51.6,40.3,25440,12,False,27.0,7,
30,2023-06-07 10:47:24.340340,45.7,40.3,25440,12,False,27.0,7,
38,2023-06-07 10:47:24.431655,44.7,40.3,25440,12,True,349.0,7,
32,2023-06-07 10:47:24.509293,53.6,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:24.591344,45.7,40.3,25440,12,False,349.0,7,
31,2023-06-07 10:47:24.675850,21.9,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:24.759570,26.5,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:24.843512,21.9,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:24.927626,23.5,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:25.011840,26.5,40.3,25440,12,False,349.0,7,
31,2023-06-07 10:47:25.096690,24.2,40.3,25440,12,False,349.0,7,
33,2023-06-07 10:47:25.182346,36.4,40.3,25440,12,False,349.0,7,
34,2023-06-07 10:47:25.267615,54.3,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:25.347473,38.7,40.3,25440,12,False,349.0,7,
33,2023-06-07 10:47:25.434611,31.2,40.3,25440,12,False,349.0,7,
30,2023-06-07 10:47:25.515260,36.4,40.3,25440,12,False,349.0,7,
32,2023-06-07 10:47:25.601175,21.2,40.3,25440,12,True,225.0,7,
32,2023-06-07 10:47:25.685128,29.4,40.3,25440,12,True,10.0,7,
34,2023-06-07 10:47:25.770823,24.2,40.3,25440,12,True,43.0,7,
31,2023-06-07 10:47:25.851257,25.0,40.3,25440,12,False,43.0,7,
31,2023-06-07 10:47:25.936072,23.5,40.3,25440,12,False,43.0,7,
30,2023-06-07 10:47:26.019144,26.5,40.3,25440,12,False,43.0,7,
