execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption
21,2023-06-06 16:17:07.872156,19.0,45.5,25440,12,False,0,6
32,2023-06-06 16:17:07.968226,8.8,45.5,25440,12,False,0,6
21,2023-06-06 16:17:08.039972,7.0,45.5,25440,12,False,0,6
19,2023-06-06 16:17:08.122029,6.2,45.5,25440,12,False,0,6
19,2023-06-06 16:17:08.205977,9.6,45.5,25440,12,False,0,6
20,2023-06-06 16:17:08.290977,6.0,45.5,25440,12,False,0,6
19,2023-06-06 16:17:08.374631,16.0,45.5,25440,12,False,0,6
19,2023-06-06 16:17:08.459127,26.9,45.5,25440,12,False,0,6
18,2023-06-06 16:17:08.542263,18.7,45.5,25440,12,False,0,6
20,2023-06-06 16:17:08.628510,11.8,45.5,25440,12,False,0,6
19,2023-06-06 16:17:08.711515,16.3,45.5,25440,12,False,0,6
20,2023-06-06 16:17:08.796054,6.0,45.5,25440,12,False,0,6
20,2023-06-06 16:17:08.879920,6.0,45.5,25440,12,False,0,6
20,2023-06-06 16:17:08.963780,6.1,45.5,25440,12,False,0,6
19,2023-06-06 16:17:09.046589,6.1,45.5,25440,12,False,0,6
18,2023-06-06 16:17:09.130106,6.0,45.5,25440,12,False,0,6
18,2023-06-06 16:17:09.213612,6.1,45.5,25440,12,False,0,6
19,2023-06-06 16:17:09.298927,4.0,45.5,25440,12,False,0,6
22,2023-06-06 16:17:09.386598,20.8,45.5,25440,12,True,349.0,6
17,2023-06-06 16:17:09.465670,21.3,45.5,25440,12,False,349.0,6
17,2023-06-06 16:17:09.549572,20.0,45.5,25440,12,False,349.0,6
19,2023-06-06 16:17:09.635683,11.3,45.5,25440,12,False,349.0,6
18,2023-06-06 16:17:09.718636,13.0,45.5,25440,12,False,349.0,6
19,2023-06-06 16:17:09.803918,7.8,45.5,25440,12,False,349.0,6
19,2023-06-06 16:17:09.887902,4.0,45.5,25440,12,False,349.0,6
19,2023-06-06 16:17:09.971574,8.0,45.5,25440,12,False,349.0,6
18,2023-06-06 16:17:10.054909,4.1,45.5,25440,12,False,349.0,6
18,2023-06-06 16:17:10.139411,7.8,45.5,25440,12,False,349.0,6
18,2023-06-06 16:17:10.222360,7.8,45.5,25440,12,False,349.0,6
18,2023-06-06 16:17:10.306224,4.2,45.5,25440,12,False,349.0,6
16,2023-06-06 16:17:10.388529,18.0,45.5,25440,12,False,349.0,6
16,2023-06-06 16:17:10.472208,24.5,45.5,25440,12,False,349.0,6
17,2023-06-06 16:17:10.557706,15.7,45.5,25440,12,True,225.0,6
26,2023-06-06 16:17:10.651251,14.8,45.5,25440,12,True,10.0,6
22,2023-06-06 16:17:10.731183,10.4,45.5,25440,12,True,43.0,6
17,2023-06-06 16:17:10.810197,4.3,45.5,25440,12,False,43.0,6
18,2023-06-06 16:17:10.895082,7.7,45.5,25440,12,False,43.0,6
18,2023-06-06 16:17:10.979515,10.0,45.5,25440,12,False,43.0,6
16,2023-06-06 16:17:11.061675,20.8,45.5,25440,12,False,43.0,6
17,2023-06-06 16:17:11.147476,15.1,45.5,25440,12,False,43.0,6
17,2023-06-06 16:17:11.231563,4.1,45.5,25440,12,False,43.0,6
18,2023-06-06 16:17:11.316384,7.8,45.5,25440,12,False,43.0,6
18,2023-06-06 16:17:11.400551,20.0,45.5,25440,12,True,437.0,6
18,2023-06-06 16:17:11.484312,25.5,45.6,25440,12,False,437.0,6
15,2023-06-06 16:17:11.565479,14.3,45.6,25440,12,False,437.0,6
17,2023-06-06 16:17:11.651541,15.4,45.5,25440,12,False,437.0,6
18,2023-06-06 16:17:11.736729,13.7,45.5,25440,12,False,437.0,6
17,2023-06-06 16:17:11.819603,8.0,45.5,25440,12,False,437.0,6
17,2023-06-06 16:17:11.904091,7.8,45.5,25440,12,False,437.0,6
19,2023-06-06 16:17:11.990240,3.9,45.5,25440,12,True,117.0,6
19,2023-06-06 16:17:12.074815,8.0,45.5,25440,12,True,27.0,6
17,2023-06-06 16:17:12.156559,6.1,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:12.240550,6.0,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:12.324245,7.8,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:12.407217,20.4,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:12.491678,25.5,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:12.575726,12.0,45.5,25440,12,False,27.0,6
18,2023-06-06 16:17:12.660880,16.0,45.5,25440,12,False,27.0,6
18,2023-06-06 16:17:12.744414,12.0,45.5,25440,12,False,27.0,6
18,2023-06-06 16:17:12.828269,9.8,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:12.911385,4.1,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:12.995541,11.3,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:13.078929,6.0,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:13.162976,4.1,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:13.247301,7.8,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:13.331120,4.1,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:13.415820,23.5,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:13.499582,22.4,45.5,25440,12,False,27.0,6
19,2023-06-06 16:17:13.586562,13.2,45.5,25440,12,False,27.0,6
18,2023-06-06 16:17:13.670296,14.9,45.5,25440,12,False,27.0,6
20,2023-06-06 16:17:13.754868,11.3,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:13.835787,6.2,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:13.919201,4.2,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:14.003967,5.9,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:14.087356,6.0,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:14.172007,7.8,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:14.255507,4.1,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:14.339567,6.1,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:14.423311,22.0,45.5,25440,12,False,27.0,6
16,2023-06-06 16:17:14.506445,27.5,45.5,25440,12,False,27.0,6
19,2023-06-06 16:17:14.593434,13.5,45.5,25440,12,False,27.0,6
21,2023-06-06 16:17:14.679893,12.0,45.5,25440,12,False,27.0,6
17,2023-06-06 16:17:14.760177,12.5,45.5,25440,12,False,27.0,6
18,2023-06-06 16:17:14.844753,4.0,45.5,25440,12,False,27.0,6
18,2023-06-06 16:17:14.929166,13.5,45.5,25440,12,False,27.0,7
15,2023-06-06 16:17:15.010599,28.0,45.5,25440,12,False,27.0,7
15,2023-06-06 16:17:15.094449,12.2,45.5,25440,12,False,27.0,7
17,2023-06-06 16:17:15.180323,3.9,45.5,25440,12,False,27.0,7
17,2023-06-06 16:17:15.264450,6.0,45.5,25440,12,False,27.0,7
20,2023-06-06 16:17:15.352040,9.6,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:15.432149,25.0,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:15.515873,24.0,45.5,25440,12,False,27.0,7
17,2023-06-06 16:17:15.601033,11.8,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:15.684419,16.3,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:15.767944,7.8,45.5,25440,12,False,27.0,7
15,2023-06-06 16:17:15.851227,4.2,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:15.936139,4.0,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:16.020164,7.8,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:16.104444,12.0,45.5,25440,12,False,27.0,7
15,2023-06-06 16:17:16.187149,20.4,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:16.271718,14.0,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:16.355825,9.8,45.5,25440,12,False,27.0,7
16,2023-06-06 16:17:16.439719,22.4,45.5,25440,12,False,27.0,7
